Date,CO,SO2,O3,AQI,latitude,longitude
16-04-2024,0.41,4.52,5.62,64,12.972149,79.162533
16-04-2024,0.47,5.66,2.97,64,12.972149,79.162533
16-04-2024,0.42,5.71,0.72,76,12.972149,79.162533
16-04-2024,0.14,5.8,55,115,12.972149,79.162533
16-04-2024,0.1,8.26,66.91,120,12.972149,79.162533
16-04-2024,0.08,11.45,61.91,120,12.972149,79.162533
16-04-2024,0.09,26.05,87.55,120,12.972149,79.162533
16-04-2024,0.06,8.83,50.28,111,12.972149,79.162533
16-04-2024,0.07,5.86,31.73,111,12.972149,79.162533
16-04-2024,0.06,8.16,32.58,117,12.972149,79.162533
16-04-2024,0.66,8.99,32.18,102,12.972149,79.162533
16-04-2024,0.81,5.86,28.72,108,12.972149,79.162533
16-04-2024,0.97,5.25,23.36,99,12.972149,79.162533
16-04-2024,0.61,8.25,23.74,86,12.972149,79.162533
16-04-2024,0.62,7.29,31.4,107,12.972149,79.162533
16-04-2024,0.68,7.62,30.57,118,12.972149,79.162533
16-04-2024,0.86,6.89,36.2,110,12.972149,79.162533
16-04-2024,0.95,12.91,48.39,114,12.972149,79.162533
16-04-2024,0.69,11.81,33.46,111,12.972149,79.162533
16-04-2024,0.78,25.39,31.15,117,12.972149,79.162533
16-04-2024,0.67,17.62,27.62,107,12.972149,79.162533
16-04-2024,0.49,9.53,30.68,87,12.972149,79.162533
16-04-2024,0.58,8.21,30.21,89,12.972149,79.162533
16-04-2024,0.64,10.34,26.24,97,12.972149,79.162533
16-04-2024,0.58,11.02,26.62,100,12.972149,79.162533
16-04-2024,0.6,11.81,24.84,105,12.972149,79.162533
16-04-2024,0.85,10.87,23.99,114,12.972149,79.162533
16-04-2024,0.7,10.82,21.64,116,12.972149,79.162533
16-04-2024,,9.18,16.94,116,12.972149,79.162533
16-04-2024,,13.97,16.28,98,12.972149,79.162533
16-04-2024,0.81,15.02,18.8,116,12.972149,79.162533
16-04-2024,0.79,22.7,25.64,108,12.972149,79.162533
16-04-2024,0.79,13.89,22.73,100,12.972149,79.162533
16-04-2024,0.72,8.98,23.63,92,12.972149,79.162533
16-04-2024,0.65,9.71,29.26,80,12.972149,79.162533
16-04-2024,0.66,12.63,22.9,88,12.972149,79.162533
16-04-2024,0.78,8.98,17.81,83,12.972149,79.162533
16-04-2024,0.81,9.68,17.53,100,12.972149,79.162533
16-04-2024,0.75,8.03,22.81,81,12.972149,79.162533
16-04-2024,1.03,10.21,22.24,112,12.972149,79.162533
16-04-2024,0.91,12.68,26.26,113,12.972149,79.162533
16-04-2024,0.64,6.82,26.52,105,12.972149,79.162533
16-04-2024,0.78,8.35,30.38,88,12.972149,79.162533
16-04-2024,0.68,7.75,21.52,78,12.972149,79.162533
16-04-2024,0.72,9.43,16.52,78,12.972149,79.162533
16-04-2024,0.56,8.63,13.8,69,12.972149,79.162533
16-04-2024,0.58,11.33,21.38,60,12.972149,79.162533
16-04-2024,0.7,12.47,20.32,61,12.972149,79.162533
16-04-2024,0.8,10.57,23.36,90,12.972149,79.162533
16-04-2024,0.7,8.89,23.13,74,12.972149,79.162533
16-04-2024,0.57,7.04,13.58,76,12.972149,79.162533
16-04-2024,0.59,16.81,19.03,92,12.972149,79.162533
16-04-2024,0.6,15.55,21.04,93,12.972149,79.162533
16-04-2024,0.73,9.61,23.87,88,12.972149,79.162533
16-04-2024,0.67,3.69,27.58,75,12.972149,79.162533
16-04-2024,0.68,7.26,23.74,79,12.972149,79.162533
16-04-2024,0.58,13.19,20.89,74,12.972149,79.162533
16-04-2024,0.83,14.42,20.99,62,12.972149,79.162533
16-04-2024,0.74,7.4,13.13,76,12.972149,79.162533
16-04-2024,0.65,10.35,34.29,76,12.972149,79.162533
16-04-2024,0.81,6.71,19.29,81,12.972149,79.162533
16-04-2024,0.76,7.38,17.57,79,12.972149,79.162533
16-04-2024,0.8,7.09,34.26,88,12.972149,79.162533
16-04-2024,0.85,7.28,32.62,78,12.972149,79.162533
16-04-2024,0.49,6.37,30.3,90,12.972149,79.162533
16-04-2024,0.4,7.31,50.24,84,12.972149,79.162533
16-04-2024,1.03,12.02,43.79,95,12.972149,79.162533
16-04-2024,,8.06,40.47,81,12.972149,79.162533
16-04-2024,,6.55,29.12,65,12.972149,79.162533
16-04-2024,0.48,7.3,44.62,86,12.972149,79.162533
16-04-2024,0.5,7.57,24.35,62,12.972149,79.162533
16-04-2024,0.46,6.09,29.05,78,12.972149,79.162533
16-04-2024,0.41,6.48,62.01,114,12.972149,79.162533
16-04-2024,0.34,5.99,64.58,103,12.972149,79.162533
16-04-2024,0.43,9.78,57.54,106,12.972149,79.162533
16-04-2024,0.51,6.22,44.58,87,12.972149,79.162533
16-04-2024,0.42,5.87,65.87,84,12.972149,79.162533
16-04-2024,0.32,6.37,63.95,85,12.972149,79.162533
16-04-2024,0.4,5.82,72.26,91,12.972149,79.162533
16-04-2024,0.46,7.1,60.03,76,12.972149,79.162533
16-04-2024,0.49,5.81,46.41,60,12.972149,79.162533
16-04-2024,0.79,6.68,46.96,69,12.972149,79.162533
16-04-2024,0.61,6.36,36.27,64,12.972149,79.162533
16-04-2024,0.55,8.41,47.71,98,12.972149,79.162533
16-04-2024,0.75,5.29,61.1,113,12.972149,79.162533
16-04-2024,0.98,9,59.68,87,12.972149,79.162533
16-04-2024,0.46,6.66,52.83,79,12.972149,79.162533
16-04-2024,0.84,6.18,54.36,69,12.972149,79.162533
16-04-2024,1.02,5.43,62.58,78,12.972149,79.162533
16-04-2024,1.01,5.53,62.72,88,12.972149,79.162533
16-04-2024,0.81,7.62,68.32,101,12.972149,79.162533
16-04-2024,1.05,6.86,63.17,80,12.972149,79.162533
16-04-2024,1,6.14,64.6,89,12.972149,79.162533
16-04-2024,0.55,6.76,50.27,71,12.972149,79.162533
16-04-2024,0.52,7.12,50.39,68,12.972149,79.162533
